,Zone,Année,Population,sous_nutrition,Année médiane,ratio_sous_nutrition_mondiale,Pourcentage_Sous_Nutrition,Proportion_sous_nutrition_par pays
102,Liban,2017-01-01,6819373.000000002,400000.0,2017-01-01,7.1,5.87,5.87
156,République dominicaine,2017-01-01,10513104.0,600000.0,2017-01-01,7.1,5.71,5.71
42,Colombie,2017-01-01,48909839.00000001,2700000.0,2017-01-01,7.1,5.52,5.52
173,Slovaquie,2017-01-01,5447900.0,300000.0,2017-01-01,7.1,5.51,5.51
1,Afrique du Sud,2017-01-01,57009756.0,3100000.0,2017-01-01,7.1,5.44,5.44
112,Mali,2017-01-01,18512430.0,1000000.0,2017-01-01,7.1,5.4,5.4
8,Arabie saoudite,2017-01-01,33101178.999999996,1600000.0,2017-01-01,7.1,4.83,4.83
86,Iran (République islamique d'),2017-01-01,80673883.0,3900000.0,2017-01-01,7.1,4.83,4.83
52,Égypte,2017-01-01,96442591.0,4600000.0,2017-01-01,7.1,4.77,4.77
169,Serbie,2017-01-01,8829628.0,400000.0,2017-01-01,7.1,4.53,4.53
45,Costa Rica,2017-01-01,4949954.000000002,200000.0,2017-01-01,7.1,4.04,4.04
114,Maroc,2017-01-01,35581255.0,1400000.0,2017-01-01,7.1,3.93,3.93
40,"Chine, Taiwan Province de",2017-01-01,23674546.0,900000.0,2017-01-01,7.1,3.8,3.8
2,Albanie,2017-01-01,2884169.000000001,100000.0,2017-01-01,7.1,3.47,3.47
192,Turkménistan,2017-01-01,5757667.0,200000.0,2017-01-01,7.1,3.47,3.47
9,Argentine,2017-01-01,43937140.0,1500000.0,2017-01-01,7.1,3.41,3.41
195,Ukraine,2017-01-01,44487709.0,1500000.0,2017-01-01,7.1,3.37,3.37
36,Chili,2017-01-01,18470439.0,600000.0,2017-01-01,7.1,3.25,3.25
109,Malaisie,2017-01-01,31104646.0,1000000.0,2017-01-01,7.1,3.21,3.21
54,Émirats arabes unis,2017-01-01,9487203.0,300000.0,2017-01-01,7.1,3.16,3.16
3,Algérie,2017-01-01,41389189.0,1300000.0,2017-01-01,7.1,3.14,3.14
135,Ouzbékistan,2017-01-01,31959785.0,900000.0,2017-01-01,7.1,2.82,2.82
29,Bulgarie,2017-01-01,7102444.0,200000.0,2017-01-01,7.1,2.82,2.82
146,Polynésie française,2017-01-01,276102.00000000006,0.0,2017-01-01,7.1,0.0,0.0
145,Pologne,2017-01-01,37953180.0,0.0,2017-01-01,7.1,0.0,0.0
138,Palestine,2017-01-01,4747227.0,0.0,2017-01-01,7.1,0.0,0.0
134,Ouganda,2017-01-01,41166588.0,0.0,2017-01-01,7.1,0.0,0.0
140,Papouasie-Nouvelle-Guinée,2017-01-01,8438036.0,0.0,2017-01-01,7.1,0.0,0.0
142,Pays-Bas,2017-01-01,17021346.999999996,0.0,2017-01-01,7.1,0.0,0.0
137,Palaos,2017-01-01,17808.0,0.0,2017-01-01,7.1,0.0,0.0
147,Porto Rico,2017-01-01,3163667.0,0.0,2017-01-01,7.1,0.0,0.0
163,Saint-Kitts-et-Nevis,2017-01-01,52045.0,0.0,2017-01-01,7.1,0.0,0.0
148,Portugal,2017-01-01,10288527.0,0.0,2017-01-01,7.1,0.0,0.0
175,Somalie,2017-01-01,14589178.999999998,0.0,2017-01-01,7.1,0.0,0.0
179,Suède,2017-01-01,9904896.0,0.0,2017-01-01,7.1,0.0,0.0
180,Suisse,2017-01-01,8455804.0,0.0,2017-01-01,7.1,0.0,0.0
181,Suriname,2017-01-01,570496.0,0.0,2017-01-01,7.1,0.0,0.0
182,Tadjikistan,2017-01-01,8880268.0,0.0,2017-01-01,7.1,0.0,0.0
184,Tchéquie,2017-01-01,10641034.0,0.0,2017-01-01,7.1,0.0,0.0
188,Tokélaou,2017-01-01,1300.0,0.0,2017-01-01,7.1,0.0,0.0
189,Tonga,2017-01-01,101998.0,0.0,2017-01-01,7.1,0.0,0.0
190,Trinité-et-Tobago,2017-01-01,1384059.0,0.0,2017-01-01,7.1,0.0,0.0
191,Tunisie,2017-01-01,11433443.0,0.0,2017-01-01,7.1,0.0,0.0
193,Turquie,2017-01-01,81116450.0,0.0,2017-01-01,7.1,0.0,0.0
194,Tuvalu,2017-01-01,11370.0,0.0,2017-01-01,7.1,0.0,0.0
196,Uruguay,2017-01-01,3436641.0,0.0,2017-01-01,7.1,0.0,0.0
197,Vanuatu,2017-01-01,285510.0,0.0,2017-01-01,7.1,0.0,0.0
200,Yémen,2017-01-01,27834819.0,0.0,2017-01-01,7.1,0.0,0.0
201,Zambie,2017-01-01,16853599.0,0.0,2017-01-01,7.1,0.0,0.0
177,Soudan du Sud,2017-01-01,10910763.0,0.0,2017-01-01,7.1,0.0,0.0
