Zone,TDI,TAS,Consommation_moyenne_poulet_en_kg,indice_stabilite_politique_2017,population_2017,Valeur US $ par habitant
République dominicaine,-599999911.023622,-599999988.976378,36.24048615898787,0.16,10513104.0,7513.497951
Saint-Kitts-et-Nevis,0.0,100.0,76.85656643289461,0.65,52045.0,22160.60363
Sainte-Lucie,-151990.9090909091,-151909.0909090909,60.78892978325983,0.99,180954.0,11270.8092
Samoa,0.0,100.0,87.02240058970474,1.18,195352.0,4246.467778
Serbie,-699999912.371134,-699999987.628866,10.985740282603071,0.09,8829628.0,5918.256598
Slovaquie,-3499999947.0149255,-3499999952.9850745,24.59663356522697,0.91,5447900.0,17584.598912
Slovénie,-2899999921.7391305,-2899999978.2608695,44.30758324287202,0.87,2076394.0,23155.397106
Sri Lanka,-199999900.0,-200000000.0,9.08745310495554,-0.07,21128032.0,4065.135897
Suisse,-399999935.91549295,-399999964.08450705,16.793199085503876,1.26,8455804.0,83353.597567
Suriname,-499999964.28571427,-499999935.71428573,49.080098721112854,0.13,570496.0,5774.654844
Suède,-2299999934.854772,-2299999965.145228,24.331401359489288,0.98,9904896.0,53788.877499
Sénégal,100.0,0.0,4.993723797136781,-0.05,15419355.0,1385.199669
Tadjikistan,-2995.0,-2905.0,4.50436856184971,-0.67,8880268.0,844.36525
Tchéquie,-2699999941.5770607,-2699999958.4229393,26.219256512102113,1.0,10641034.0,20759.909712
Trinité-et-Tobago,72.61904761904762,27.380952380952383,60.69105435534179,0.28,1384059.0,16094.666782
Tunisie,-399999900.0,-400000000.0,18.62955891764187,-1.02,11433443.0,3569.718839
Uruguay,-299999908.3333334,-299999991.6666666,10.475344966203918,1.05,3436641.0,18769.787523
Viet Nam,-99999924.06947891,-99999975.93052109,12.780039307975988,0.23,94600648.0,2992.071534
Zambie,-99999919.67213114,-99999980.32786886,3.6194049710094562,0.15,16853599.0,1495.437665
Émirats arabes unis,-9399999990.02079,-9399999909.97921,50.699874346527636,0.62,9487203.0,42522.377617
Équateur,100.0,0.0,20.255745467732268,-0.07,16785361.0,6246.404252
Îles Salomon,0.0,100.0,9.433383801936674,0.2,636039.0,2283.581124
