Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","113.102032","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","113.832502","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","158.736219","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","159.969363","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","158.795801","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","156.018562","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","153.477296","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","147.094366","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","144.171425","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","144.062977","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","004","Afghanistan","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","144.620601","F","Valeur prévue","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7001","Janvier","6121","Valeur","%","12.534454","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7002","Février","6121","Valeur","%","10.483818","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7003","Mars","6121","Valeur","%","8.970936","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7004","Avril","6121","Valeur","%","6.58912","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7005","Mai","6121","Valeur","%","6.829828","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7006","Juin","6121","Valeur","%","6.829828","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7007","Juillet","6121","Valeur","%","6.410294","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7008","Août","6121","Valeur","%","5.20973","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7009","Septembre","6121","Valeur","%","5.076188","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7010","Octobre","6121","Valeur","%","4.91186","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7011","Novembre","6121","Valeur","%","4.761901","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23014","Food price inflation","7012","Décembre","6121","Valeur","%","4.223585","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7001","Janvier","6121","Valeur","%","13.577757","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7002","Février","6121","Valeur","%","13.542667","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7003","Mars","6121","Valeur","%","14.048743","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7004","Avril","6121","Valeur","%","13.953451","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7005","Mai","6121","Valeur","%","11.848342","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7006","Juin","6121","Valeur","%","10.944789","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7007","Juillet","6121","Valeur","%","9.898228","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7008","Août","6121","Valeur","%","8.000023","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23014","Food price inflation","7009","Septembre","6121","Valeur","%","8.242767","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","117.6245","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","118.3443","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","118.9202","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","118.7762","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","119.3521","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","119.3521","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","119.4961","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","119.2082","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","119.2082","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","119.928","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","120.3599","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","120.7918","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","164.991","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","166.5747","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","168.3023","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","169.3101","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","169.886","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","170.7498","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","171.0378","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","171.0378","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","710","Afrique du Sud","2023","2023","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","172.0456","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7001","Janvier","6121","Valeur","%","5.788876","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7002","Février","6121","Valeur","%","3.956044","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7003","Mars","6121","Valeur","%","3.369565","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7004","Avril","6121","Valeur","%","3.076923","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7005","Mai","6121","Valeur","%","3.75","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7006","Juin","6121","Valeur","%","5.098494","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7007","Juillet","6121","Valeur","%","4.750869","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7008","Août","6121","Valeur","%","3.280543","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7009","Septembre","6121","Valeur","%","3.498871","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7010","Octobre","6121","Valeur","%","4.090909","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7011","Novembre","6121","Valeur","%","3.652968","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23014","Food price inflation","7012","Décembre","6121","Valeur","%","2.780868","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7001","Janvier","6121","Valeur","%","13.284804","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7002","Février","6121","Valeur","%","13.492063","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7003","Mars","6121","Valeur","%","11.035654","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7004","Avril","6121","Valeur","%","9.571788","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7005","Mai","6121","Valeur","%","10.068259","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7006","Juin","6121","Valeur","%","10.207612","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7007","Juillet","6121","Valeur","%","9.036145","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7008","Août","6121","Valeur","%","7.79661","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2023","2023","23014","Food price inflation","7009","Septembre","6121","Valeur","%","7.879296","E","Valeur estimée",""
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","108.42785","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","110.056595","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","110.638289","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","109.125884","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","106.217411","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","105.519378","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","105.170361","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","106.217411","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","106.682767","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","106.566428","A","Chiffre officiel","base year is 2015"
"CP","Indices de Prix à la Consommation","008","Albanie","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","105.635717","A","Chiffre officiel","base year is 2015"
