Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","132","Cabo Verde","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.779","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","116","Cambodge","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.226","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","120","Cameroun","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.837","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","124","Canada","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.766","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","152","Chili","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.765","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","344","Chine - RAS de Hong-Kong","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.034","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","156","Chine, continentale","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.672","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","158","Chine, Taiwan Province de","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.911","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","196","Chypre","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.697","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","170","Colombie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.798","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","178","Congo","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.633","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","188","Costa Rica","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.863","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","384","Côte d'Ivoire","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.111","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","191","Croatie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.955","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","531","Curaçao","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.673","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","208","Danemark","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.498","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","262","Djibouti","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.988","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","212","Dominique","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.841","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","818","Égypte","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.209","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","784","Émirats arabes unis","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.856","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","218","Équateur","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.753","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","724","Espagne","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.623","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","233","Estonie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.752","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","748","Eswatini","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.136","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","840","États-Unis d'Amérique","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.557","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","231","Éthiopie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.882","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","643","Fédération de Russie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.98","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","242","Fidji","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.001","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","246","Finlande","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.543","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","250","France","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.64","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","266","Gabon","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.735","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","270","Gambie","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.589","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","288","Ghana","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.235","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","300","Grèce","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.797","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","308","Grenade","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.335","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","324","Guinée","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.559","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","226","Guinée équatoriale","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.804","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","624","Guinée-Bissau","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.569","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","328","Guyana","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.922","E","Valeur estimée"
"CAHD","Coût et abordabilité d’une alimentation saine
 (CoAHD)","332","Haïti","6226","Valeur","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.583","E","Valeur estimée"
