Zone,Disponibilité en kg,Exportations en kg,Importation en kg,Production en kg,population_2017,proportion_ss_nutrition_2017,indice_stabilite_politique_2017,inflation_food_price_2017,Valeur US $ par habitant,TAS,TDI,Consommation_moyenne_poulet_en_kg
Lettonie,41000000.0,20000000.0,43000000.0,33000000.0,1951097.0,0.0,0.46,56.15894658333334,15593.840393,76.78571428571429,-1999999956.5789473,38.952445726686065
Liban,73000000.0,4000000.0,13000000.0,64000000.0,6819373.0,5.87,-1.63,53.04333491666667,8679.897422,17.80821917808219,-399999916.88311684,11.291360657350756
Lituanie,82000000.0,68000000.0,44000000.0,118000000.0,2845414.0,0.0,0.78,54.202424416666666,16443.298019,46.808510638297875,-6799999927.160494,56.933718608258765
Luxembourg,11000000.0,1000000.0,11000000.0,0.0,591910.0,0.0,1.33,53.60372108333333,110203.008207,110.00000000000001,-100000000.0,18.58390633711206
Macédoine du Nord,41000000.0,1000000.0,40000000.0,2000000.0,2081996.0,0.0,-0.25,49.60321029166667,5353.775388,97.5609756097561,-99999995.23809524,20.172949419691488
Malaisie,1621000000.0,44000000.0,68000000.0,1724000000.0,31104646.0,3.21,0.12,56.193542791666665,9979.704757,3.8901601830663615,-4399999903.794642,57.61197217933295
Malte,14000000.0,0.0,9000000.0,4000000.0,437933.0,0.0,1.25,54.58761858333333,28122.28717,69.23076923076923,30.76923076923077,29.684906138610245
Maroc,746000000.0,1000000.0,3000000.0,762000000.0,35581255.0,3.93,-0.37,51.4167215,3336.528682,0.3926701570680628,-99999900.39215687,21.50008480589007
Maurice,49000000.0,0.0,2000000.0,48000000.0,1264499.0,0.0,0.97,54.39472645833334,10591.698261,4.0,96.0,39.54135195045627
Monténégro,10000000.0,0.0,8000000.0,4000000.0,627563.0,0.0,-0.06,51.319116333333334,7679.191234,66.66666666666666,33.33333333333333,19.121586199313853
Myanmar,1666000000.0,0.0,3000000.0,1662000000.0,53382523.0,13.67,-1.08,57.29971454166667,1304.481669,0.18018018018018017,99.81981981981983,31.189983283480252
Namibie,28000000.0,12000000.0,29000000.0,11000000.0,2402633.0,12.49,0.63,61.33348841666666,5450.334513,103.57142857142858,-1199999972.5,16.648401982325225
Nicaragua,138000000.0,0.0,6000000.0,143000000.0,6384846.0,17.23,-0.05,51.354387833333334,2127.277953,4.026845637583892,95.9731543624161,23.336506471730093
Niger,21000000.0,0.0,3000000.0,19000000.0,21602382.0,0.0,-1.27,52.78436658333334,514.543477,13.636363636363635,86.36363636363636,1.0184062109447005
Nigéria,202000000.0,0.0,0.0,201000000.0,190873244.0,11.95,-2.0,78.314093875,1941.873934,0.0,100.0,1.0530548744694672
Norvège,102000000.0,0.0,2000000.0,101000000.0,5296326.0,0.0,1.17,51.298071375,75490.688444,1.9417475728155338,98.05825242718447,19.447443378674198
Nouvelle-Zélande,168000000.0,23000000.0,1000000.0,223000000.0,4702034.0,0.0,1.6,51.918679875,43534.089383,0.4975124378109453,-2299999900.446429,47.63895794883661
Oman,114000000.0,16000000.0,126000000.0,7000000.0,4665928.0,8.57,0.75,49.96561366666666,17802.548365,107.6923076923077,-1599999994.7368422,28.504511857019654
Ouganda,66000000.0,0.0,0.0,65000000.0,41166588.0,0.0,-0.57,63.257389499999995,787.332281,0.0,100.0,1.578950385686567
Pakistan,1282000000.0,4000000.0,2000000.0,1281000000.0,207906209.0,11.93,-2.41,54.567039666666666,1558.080077,0.1563721657544957,-399999900.1558846,6.171051870798144
Panama,192000000.0,0.0,20000000.0,198000000.0,4106769.0,7.31,0.39,50.120337500000005,15185.978635,9.174311926605505,90.82568807339449,53.083092815787786
Paraguay,41000000.0,4000000.0,1000000.0,45000000.0,6867061.0,8.74,0.0,58.876579416666665,6136.058354,2.380952380952381,-399999902.17391306,6.698644441923554
Philippines,1521000000.0,2000000.0,249000000.0,1272000000.0,105172925.0,14.93,-1.19,53.8671915,3077.434432,16.392363396971692,-199999916.3708087,14.461896918812517
Portugal,325000000.0,44000000.0,82000000.0,361000000.0,10288527.0,0.0,1.12,51.784096625,21475.355853,20.551378446115287,-4399999918.510159,43.05766996577839
Pérou,1523000000.0,1000000.0,60000000.0,1465000000.0,31444298.0,7.0,-0.26,54.857986333333336,6676.307788,3.937007874015748,-99999903.93442623,48.49845908469637
Roumanie,381000000.0,69000000.0,146000000.0,392000000.0,19653969.0,0.0,0.06,51.20890420833334,10667.990723,31.13006396588486,-6899999927.137547,27.373605809595
République de Corée,854000000.0,6000000.0,137000000.0,838000000.0,51096415.0,0.0,0.39,54.60287962499999,31524.94267,14.138286893704851,-599999914.051282,19.081573531137163
République de Moldova,66000000.0,0.0,16000000.0,54000000.0,4059684.0,0.0,-0.32,61.879271625,3040.315517,22.857142857142858,77.14285714285715,17.24272135466701
République dominicaine,375000000.0,6000000.0,42000000.0,339000000.0,10513104.0,5.71,0.16,53.448172416666665,7513.497951,11.200000000000001,-599999911.023622,36.24048615898787
Saint-Kitts-et-Nevis,4000000.0,0.0,4000000.0,0.0,52045.0,0.0,0.65,46.80830649999999,22160.60363,100.0,0.0,76.85656643289461
