Zone,Exportations en kg,population_2017,indice_stabilite_politique_2017,Valeur US $ par habitant,TAS,TDI,Consommation_moyenne_poulet_en_kg
Estonie,11000000.0,1319390.0,0.65,20435.205904,66.66666666666666,51.21951219512195,22.737780337883414
Fidji,0.0,877459.0,0.62,5825.224293,88.46153846153845,11.538461538461538,29.63101409866444
Finlande,12000000.0,5511371.0,1.08,46412.760009,96.99248120300751,11.03448275862069,24.131926520642505
France,501000000.0,64842509.0,0.28,40458.149878,99.71509971509973,22.429078014184398,27.065578230478405
Fédération de Russie,115000000.0,145530082.0,-0.64,10822.77025,97.56311745334797,4.839400428265525,31.2993708063739
Gabon,0.0,2064823.0,-0.1,6975.769483,5.0,95.0,38.744241031797884
Ghana,0.0,29121465.0,0.09,1998.626958,28.436018957345972,71.56398104265402,7.245514605807091
Grèce,29000000.0,10569450.0,-0.07,18690.624484,83.1081081081081,24.307692307692307,28.005241521555046
Guyana,0.0,775222.0,-0.04,6220.978568,100.0,0.0,39.988545216725015
Géorgie,5000000.0,4008716.0,-0.37,4306.234809,32.35294117647059,69.86301369863014,16.963037541197732
Honduras,1000000.0,9429013.0,-0.56,2403.306094,94.6078431372549,5.853658536585367,21.635350380787468
Hongrie,210000000.0,9729823.0,0.81,14619.783288,144.57478005865104,10.526315789473683,35.04688625887645
Indonésie,0.0,264650963.0,-0.5,3839.785075,99.95655951346654,0.043440486533449174,8.698249097245869
Iran (République islamique d'),45000000.0,80673883.0,-0.93,5960.707147,101.82669789227165,0.27522935779816515,26.464574662905466
Irlande,93000000.0,4753279.0,1.0,70491.993292,94.82758620689656,47.368421052631575,24.40420602283182
Islande,0.0,334393.0,1.35,71961.532039,83.33333333333334,16.666666666666664,35.885918664565345
Italie,183000000.0,60673701.0,0.31,32694.406225,106.99755899104963,6.869688385269122,20.25589307630995
Jamaïque,1000000.0,2920848.0,0.31,5273.149061,81.0126582278481,19.49685534591195,54.09387958565458
Japon,10000000.0,127502725.0,1.11,38928.952604,67.65424557116677,32.55176613885505,25.677882570745055
Jordanie,10000000.0,9785843.0,-0.45,4053.539531,79.54545454545455,23.357664233576642,26.977747343790412
Kazakhstan,6000000.0,18080019.0,0.03,9107.697679,50.442477876106196,50.43478260869565,18.749980295927788
Kirghizistan,0.0,6189733.0,-0.38,1258.390778,21.875,78.125,5.169851429778958
Koweït,4000000.0,4056099.0,-0.05,29258.289476,29.629629629629626,70.98445595854922,46.59649579559079
Lettonie,20000000.0,1951097.0,0.46,15593.840393,58.92857142857143,56.57894736842105,28.70180211440026
Liban,4000000.0,6819373.0,-1.63,8679.897422,87.67123287671232,16.883116883116884,10.70479646735851
Lituanie,68000000.0,2845414.0,0.78,16443.298019,125.53191489361701,27.160493827160494,33.03561450108842
Macédoine du Nord,1000000.0,2081996.0,-0.25,5353.775388,4.878048780487805,95.23809523809523,19.692641100175024
Malaisie,44000000.0,31104646.0,0.12,9979.704757,98.62700228832952,3.7946428571428568,56.19739250528683
Malte,0.0,437933.0,1.25,28122.28717,30.76923076923077,69.23076923076923,29.684906138610245
Maroc,1000000.0,35581255.0,-0.37,3336.528682,99.73821989528795,0.39215686274509803,21.471980119869297
Maurice,0.0,1264499.0,0.97,10591.698261,96.0,4.0,39.54135195045627
Mexique,9000000.0,124777324.0,-0.8,9434.378179,77.13675213675214,23.02771855010661,33.756133446170075
Monténégro,0.0,627563.0,-0.06,7679.191234,33.33333333333333,66.66666666666666,19.121586199313853
Myanmar,0.0,53382523.0,-1.08,1304.481669,99.81981981981983,0.18018018018018017,31.189983283480252
Namibie,12000000.0,2402633.0,0.63,5450.334513,39.285714285714285,72.5,11.653881387627656
Niger,0.0,21602382.0,-1.27,514.543477,86.36363636363636,13.636363636363635,1.0184062109447005
Nigéria,0.0,190873244.0,-2.0,1941.873934,100.0,0.0,1.0530548744694672
Norvège,0.0,5296326.0,1.17,75490.688444,98.05825242718447,1.9417475728155338,19.447443378674198
Nouvelle-Zélande,23000000.0,4702034.0,1.6,43534.089383,110.94527363184079,0.4464285714285714,42.74745780230428
Oman,16000000.0,4665928.0,0.75,17802.548365,5.982905982905983,94.73684210526315,25.075397648656388
Ouganda,0.0,41166588.0,-0.57,787.332281,100.0,0.0,1.578950385686567
Pakistan,4000000.0,207906209.0,-2.41,1558.080077,100.1563721657545,0.1558846453624318,6.151812426150293
Panama,0.0,4106769.0,0.39,15185.978635,90.82568807339449,9.174311926605505,53.083092815787786
Paraguay,4000000.0,6867061.0,0.0,6136.058354,107.14285714285714,2.1739130434782608,6.116153620886723
Philippines,2000000.0,105172925.0,-1.19,3077.434432,83.7393021724819,16.370808678500985,14.442880617801586
Portugal,44000000.0,10288527.0,1.12,21475.355853,90.47619047619048,18.510158013544018,38.78106166217963
Pérou,1000000.0,31444298.0,-0.26,6676.307788,96.12860892388451,3.934426229508197,48.466656816444114
Roumanie,69000000.0,19653969.0,0.06,10667.990723,83.5820895522388,27.137546468401485,23.862864544052144
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,359000000.0,66727461.0,0.39,40617.67907,81.19964189794091,30.042421905129196,33.47946956950752
République de Corée,6000000.0,51096415.0,0.39,31524.94267,86.48090815273478,14.051282051282051,18.964148463253245
République de Moldova,0.0,4059684.0,-0.32,3040.315517,77.14285714285715,22.857142857142858,17.24272135466701
République dominicaine,6000000.0,10513104.0,0.16,7513.497951,90.4,11.023622047244094,35.66976984152349
Saint-Kitts-et-Nevis,0.0,52045.0,0.65,22160.60363,0.0,100.0,76.85656643289461
Sainte-Lucie,1520.0,180954.0,0.99,11270.8092,9.092165462863958,90.9090909090909,60.780529858417054
Serbie,7000000.0,8829628.0,0.09,5918.256598,94.44444444444444,12.371134020618557,10.192954901384294
Slovaquie,35000000.0,5447900.0,0.91,17584.598912,71.71717171717171,47.01492537313433,18.17213972356321
Slovénie,29000000.0,2076394.0,0.87,23155.397106,114.28571428571428,21.73913043478261,30.341062438053665
Sri Lanka,2000000.0,21128032.0,-0.07,4065.135897,101.05263157894737,0.0,8.992792135112254
Suisse,4000000.0,8455804.0,1.26,83353.597567,65.94202898550725,35.91549295774648,16.320151223940385
Suriname,5000000.0,570496.0,0.13,5774.654844,43.47826086956522,64.28571428571429,40.31579537805699
Suède,23000000.0,9904896.0,0.98,53788.877499,72.01834862385321,34.85477178423236,22.00931741231811
Sénégal,0.0,15419355.0,-0.05,1385.199669,100.0,0.0,4.993723797136781
Tadjikistan,30.0,8880268.0,-0.67,844.36525,5.000003750002813,95.0,4.504365183573289
Tchéquie,27000000.0,10641034.0,1.0,20759.909712,64.68253968253968,41.57706093189964,23.681909107705135
Trinité-et-Tobago,0.0,1384059.0,0.28,16094.666782,72.61904761904762,27.380952380952383,60.69105435534179
Tunisie,4000000.0,11433443.0,-1.02,3569.718839,101.91387559808614,0.0,18.279708045949064
Turquie,429000000.0,81116450.0,-1.79,10464.007788,124.12231030577576,0.1366742596810934,21.771169719582158
Ukraine,273000000.0,44487709.0,-1.87,2510.017662,114.35316336166194,9.084084084084084,23.804327617769662
Uruguay,3000000.0,3436641.0,1.05,18769.787523,100.0,8.333333333333332,9.602399552353592
Viet Nam,1000000.0,94600648.0,0.23,2992.071534,75.99337748344371,24.069478908188586,12.76946855586021
Zambie,1000000.0,16853599.0,0.15,1495.437665,81.66666666666667,19.672131147540984,3.56007046328799
Égypte,1000000.0,96442591.0,-1.42,1917.049576,91.11654441727791,8.957654723127035,12.722594729957017
Émirats arabes unis,94000000.0,9487203.0,0.62,42522.377617,12.4031007751938,90.02079002079002,40.791790794399574
Équateur,0.0,16785361.0,-0.07,6246.404252,100.0,0.0,20.255745467732268
Îles Salomon,0.0,636039.0,0.2,2283.581124,0.0,100.0,9.433383801936674
